# ecut,   Bind_x,   Bind_y,   Bind_z,    Bext,    sigma_x(ppm),   sigma_y,   sigma_z
135 2.3403e-08 -4.64116e-15 0 0.00698132 0.00224323 -4.44866e-10 0
135 2.34031e-08 -1.03053e-16 0 0.00698132 0.00224325 -9.87785e-12 0
140 1.71755e-08 -1.32177e-08 0 0.00698132 0.00164631 -0.00126695 0
140 2.23222e-08 -1.61918e-10 0 0.00698132 0.00213964 -1.55203e-05 0
140 2.28554e-08 -2.47713e-12 0 0.00698132 0.00219075 -2.37439e-07 0
140 2.28686e-08 -4.77908e-14 0 0.00698132 0.00219201 -4.58086e-09 0
140 2.28688e-08 -1.05571e-15 0 0.00698132 0.00219203 -1.01193e-10 0
145 1.76383e-08 -1.57035e-08 0 0.00698132 0.00169067 -0.00150521 0
145 2.21706e-08 -2.21657e-10 0 0.00698132 0.00212511 -2.12464e-05 0
145 2.28486e-08 -3.84106e-12 0 0.00698132 0.00219009 -3.68175e-07 0
145 2.28684e-08 -8.29984e-14 0 0.00698132 0.00219199 -7.9556e-09 0
145 2.28688e-08 -2.06806e-15 0 0.00698132 0.00219203 -1.98228e-10 0
150 1.83325e-08 -1.84392e-08 0 0.00698132 0.00175721 -0.00176745 0
150 2.1995e-08 -2.97277e-10 0 0.00698132 0.00210827 -2.84947e-05 0
150 2.28392e-08 -5.79555e-12 0 0.00698132 0.0021892 -5.55518e-07 0
150 2.28681e-08 -1.39224e-13 0 0.00698132 0.00219196 -1.33449e-08 0
150 2.28688e-08 -3.87522e-15 0 0.00698132 0.00219203 -3.7145e-10 0
155 1.92615e-08 -2.14315e-08 0 0.00698132 0.00184626 -0.00205426 0
155 2.17955e-08 -3.91458e-10 0 0.00698132 0.00208915 -3.75222e-05 0
155 2.28267e-08 -8.53164e-12 0 0.00698132 0.00218799 -8.17779e-07 0
155 2.28676e-08 -2.26353e-13 0 0.00698132 0.00219191 -2.16965e-08 0
155 2.28688e-08 -6.97757e-15 0 0.00698132 0.00219203 -6.68817e-10 0
160 1.40899e-08 2.45166e-08 0 0.00698132 0.00135055 0.00234997 0
160 2.34142e-08 4.12688e-10 0 0.00698132 0.00224431 3.95572e-05 0
160 2.51881e-08 7.54021e-12 0 0.00698132 0.00241434 7.22748e-07 0
160 2.52639e-08 8.9896e-14 0 0.00698132 0.00242161 8.61675e-09 0
160 2.52664e-08 -1.84176e-15 0 0.00698132 0.00242185 -1.76537e-10 0
165 1.49326e-08 2.8328e-08 0 0.00698132 0.00143132 0.00271531 0
165 2.30461e-08 5.31938e-10 0 0.00698132 0.00220902 5.09875e-05 0
165 2.51596e-08 1.10748e-11 0 0.00698132 0.0024116 1.06154e-06 0
165 2.52626e-08 1.66401e-13 0 0.00698132 0.00242148 1.59499e-08 0
165 2.52664e-08 -1.9236e-15 0 0.00698132 0.00242185 -1.84382e-10 0
170 1.6045e-08 3.24921e-08 0 0.00698132 0.00153795 0.00311444 0
170 2.26415e-08 6.75741e-10 0 0.00698132 0.00217024 6.47714e-05 0
170 2.51236e-08 1.58675e-11 0 0.00698132 0.00240815 1.52094e-06 0
170 2.52606e-08 2.89279e-13 0 0.00698132 0.00242129 2.77281e-08 0
170 2.52663e-08 -1.27273e-15 0 0.00698132 0.00242184 -1.21994e-10 0
175 6.36812e-08 5.26833e-08 0 0.00698132 0.006104 0.00504983 0
175 2.2651e-08 1.10935e-09 0 0.00698132 0.00217116 0.000106334 0
175 2.3651e-08 3.15242e-11 0 0.00698132 0.00226701 3.02167e-06 0
175 2.37594e-08 1.10057e-12 0 0.00698132 0.0022774 1.05492e-07 0
175 2.37651e-08 4.56078e-14 0 0.00698132 0.00227794 4.37162e-09 0
180 -2.02916e-08 1.26196e-08 0 0.00698132 -0.001945 0.00120962 0
180 2.24811e-08 3.61988e-10 0 0.00698132 0.00215487 3.46974e-05 0
180 2.49665e-08 1.325e-11 0 0.00698132 0.0023931 1.27004e-06 0
180 2.51055e-08 6.22296e-13 0 0.00698132 0.00240642 5.96486e-08 0
180 2.51124e-08 3.5131e-14 0 0.00698132 0.00240708 3.36739e-09 0
185 -2.44837e-08 1.41242e-08 0 0.00698132 -0.00234682 0.00135384 0
185 2.20259e-08 4.3996e-10 0 0.00698132 0.00211123 4.21712e-05 0
185 2.49257e-08 1.73461e-11 0 0.00698132 0.00238919 1.66266e-06 0
185 2.51026e-08 8.6505e-13 0 0.00698132 0.00240615 8.29171e-08 0
185 2.51122e-08 5.20473e-14 0 0.00698132 0.00240706 4.98886e-09 0
190 7.58567e-09 7.87583e-09 0 0.00698132 0.000727105 0.000754918 0
190 2.13802e-08 2.84074e-10 0 0.00698132 0.00204934 2.72291e-05 0
190 2.453e-08 5.58752e-12 0 0.00698132 0.00235126 5.35578e-07 0
190 2.47916e-08 -2.95566e-13 0 0.00698132 0.00237633 -2.83307e-08 0
190 2.48081e-08 -5.59913e-14 0 0.00698132 0.00237792 -5.3669e-09 0
195 7.759e-09 8.52302e-09 0 0.00698132 0.000743719 0.000816952 0
195 2.09415e-08 3.43925e-10 0 0.00698132 0.0020073 3.2966e-05 0
195 2.44647e-08 8.04177e-12 0 0.00698132 0.002345 7.70823e-07 0
195 2.47855e-08 -3.09148e-13 0 0.00698132 0.00237575 -2.96326e-08 0
195 2.48076e-08 -7.39113e-14 0 0.00698132 0.00237787 -7.08458e-09 0
200 8.10192e-09 9.16775e-09 0 0.00698132 0.000776589 0.000878751 0
200 2.04809e-08 4.12092e-10 0 0.00698132 0.00196314 3.95e-05 0
200 2.43893e-08 1.11987e-11 0 0.00698132 0.00233778 1.07343e-06 0
200 2.47779e-08 -2.98162e-13 0 0.00698132 0.00237502 -2.85796e-08 0
200 2.4807e-08 -9.5317e-14 0 0.00698132 0.00237781 -9.13637e-09 0
205 8.62199e-09 9.79886e-09 0 0.00698132 0.000826439 0.000939245 0
205 2.00002e-08 4.8893e-10 0 0.00698132 0.00191707 4.68652e-05 0
205 2.43031e-08 1.51778e-11 0 0.00698132 0.00232951 1.45482e-06 0
205 2.47685e-08 -2.51182e-13 0 0.00698132 0.00237412 -2.40764e-08 0
205 2.48062e-08 -1.20192e-13 0 0.00698132 0.00237773 -1.15207e-08 0
210 9.3284e-09 1.04169e-08 0 0.00698132 0.000894149 0.000998485 0
210 1.95018e-08 5.75041e-10 0 0.00698132 0.0018693 5.51191e-05 0
210 2.42055e-08 2.01181e-11 0 0.00698132 0.00232015 1.92837e-06 0
210 2.47568e-08 -1.53786e-13 0 0.00698132 0.002373 -1.47408e-08 0
210 2.48051e-08 -1.48247e-13 0 0.00698132 0.00237763 -1.42098e-08 0
215 2.02959e-08 6.35216e-09 0 0.00698132 0.00194541 0.00060887 0
215 1.76849e-08 5.41513e-10 0 0.00698132 0.00169514 5.19054e-05 0
215 2.32284e-08 3.82923e-11 0 0.00698132 0.0022265 3.67041e-06 0
215 2.38925e-08 2.69297e-12 0 0.00698132 0.00229016 2.58128e-07 0
215 2.39516e-08 2.01895e-13 0 0.00698132 0.00229582 1.93521e-08 0
220 2.27745e-08 6.75059e-09 0 0.00698132 0.00218299 0.00064706 0
220 1.71138e-08 6.12757e-10 0 0.00698132 0.0016404 5.87342e-05 0
220 2.30995e-08 4.62453e-11 0 0.00698132 0.00221414 4.43272e-06 0
220 2.38758e-08 3.44455e-12 0 0.00698132 0.00228856 3.30168e-07 0
220 2.39498e-08 2.71854e-13 0 0.00698132 0.00229565 2.60578e-08 0
225 3.71717e-08 -4.62424e-08 0 0.00698132 0.003563 -0.00443245 0
225 2.06364e-08 -1.67798e-09 0 0.00698132 0.00197805 -0.000160839 0
225 2.32529e-08 -8.93093e-11 0 0.00698132 0.00222885 -8.56051e-06 0
225 2.38134e-08 -5.37629e-12 0 0.00698132 0.00228257 -5.1533e-07 0
225 2.38796e-08 -3.27115e-13 0 0.00698132 0.00228892 -3.13548e-08 0
230 3.92923e-08 -5.05382e-08 0 0.00698132 0.00376626 -0.00484421 0
230 2.05008e-08 -1.93151e-09 0 0.00698132 0.00196505 -0.00018514 0
230 2.31641e-08 -1.08335e-10 0 0.00698132 0.00222033 -1.03841e-05 0
