3.82 m^3 -0.483572
3.83 m^3 -0.499038
3.84 m^3 -0.514488
3.85 m^3 -0.529922
3.86 m^3 -0.54534
3.87 m^3 -0.560743
3.88 m^3 -0.576129
3.89 m^3 -0.5915
3.9 m^3 -0.606856
3.91 m^3 -0.622196
3.92 m^3 -0.637521
3.93 m^3 -0.652831
3.94 m^3 -0.668126
3.95 m^3 -0.683406
3.96 m^3 -0.698671
3.97 m^3 -0.713922
3.98 m^3 -0.729159
3.99 m^3 -0.744381
4 m^3 -0.759589
4.01 m^3 -0.774782
4.02 m^3 -0.789962
4.03 m^3 -0.805128
4.04 m^3 -0.82028
4.05 m^3 -0.835419
4.06 m^3 -0.850544
4.07 m^3 -0.865655
4.08 m^3 -0.880753
4.09 m^3 -0.895838
4.1 m^3 -0.91091
4.11 m^3 -0.925969
4.12 m^3 -0.941015
4.13 m^3 -0.956048
4.14 m^3 -0.971069
4.15 m^3 -0.986077
4.16 m^3 -1.00107
4.17 m^3 -1.01606
4.18 m^3 -1.03103
4.19 m^3 -1.04598
4.2 m^3 -1.06093
4.21 m^3 -1.07587
4.22 m^3 -1.09079
4.23 m^3 -1.1057
4.24 m^3 -1.1206
4.25 m^3 -1.13549
4.26 m^3 -1.15036
4.27 m^3 -1.16523
4.28 m^3 -1.18008
4.29 m^3 -1.19492
4.3 m^3 -1.20976
4.31 m^3 -1.22458
4.32 m^3 -1.23938
4.33 m^3 -1.25418
4.34 m^3 -1.26897
4.35 m^3 -1.28375
4.36 m^3 -1.29851
4.37 m^3 -1.31327
4.38 m^3 -1.32802
4.39 m^3 -1.34275
4.4 m^3 -1.35748
4.41 m^3 -1.37219
4.42 m^3 -1.38689
4.43 m^3 -1.40159
4.44 m^3 -1.41627
4.45 m^3 -1.43095
4.46 m^3 -1.44561
4.47 m^3 -1.46027
4.48 m^3 -1.47492
4.49 m^3 -1.48955
4.5 m^3 -1.50418
4.51 m^3 -1.5188
4.52 m^3 -1.5334
4.53 m^3 -1.548
4.54 m^3 -1.56259
4.55 m^3 -1.57717
4.56 m^3 -1.59175
4.57 m^3 -1.60631
4.58 m^3 -1.62086
4.59 m^3 -1.63541
4.6 m^3 -1.64995
4.61 m^3 -1.66447
4.62 m^3 -1.67899
4.63 m^3 -1.6935
4.64 m^3 -1.70801
4.65 m^3 -1.7225
4.66 m^3 -1.73699
4.67 m^3 -1.75146
4.68 m^3 -1.76593
4.69 m^3 -1.7804
4.7 m^3 -1.79485
4.71 m^3 -1.8093
4.72 m^3 -1.82373
4.73 m^3 -1.83816
4.74 m^3 -1.85259
4.75 m^3 -1.867
4.76 m^3 -1.88141
4.77 m^3 -1.89581
4.78 m^3 -1.9102
4.79 m^3 -1.92458
4.8 m^3 -1.93896
4.81 m^3 -1.95333
4.82 m^3 -1.96769
4.83 m^3 -1.98205
4.84 m^3 -1.9964
4.85 m^3 -2.01074
4.86 m^3 -2.02507
4.87 m^3 -2.0394
4.88 m^3 -2.05372
4.89 m^3 -2.06804
4.9 m^3 -2.08234
4.91 m^3 -2.09664
4.92 m^3 -2.11094
4.93 m^3 -2.12522
4.94 m^3 -2.13951
4.95 m^3 -2.15378
4.96 m^3 -2.16805
4.97 m^3 -2.18231
4.98 m^3 -2.19656
4.99 m^3 -2.21081
5 m^3 -2.22506
